Match,Match_id,BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Pakistan vs Zimbabwe,T20I # 1849,Richard Ngarava,4,0,24,0,6,15,2,1,2,0
Pakistan vs Zimbabwe,T20I # 1849,Blessing Muzarabani,4,0,18,1,4.5,11,1,0,0,0
Pakistan vs Zimbabwe,T20I # 1849,Brad Evans,4,0,25,2,6.25,12,2,1,0,0
Pakistan vs Zimbabwe,T20I # 1849,Sikandar Raza,4,0,25,3,6.25,13,2,1,2,0
Pakistan vs Zimbabwe,T20I # 1849,Luke Jongwe,1,0,10,1,10,2,2,0,0,0
Pakistan vs Zimbabwe,T20I # 1849,Sean Williams,2,0,15,0,7.5,1,0,0,1,0
Pakistan vs Zimbabwe,T20I # 1849,Ryan Burl,1,0,7,0,7,0,0,0,0,0
New Zealand vs Sri Lanka,T20I # 1850,Maheesh Theekshana,4,0,35,1,8.75,7,2,2,1,0
New Zealand vs Sri Lanka,T20I # 1850,Kasun Rajitha,4,0,23,2,5.75,16,3,0,1,2
New Zealand vs Sri Lanka,T20I # 1850,Dhananjaya de Silva,2,0,14,1,7,4,1,0,0,0
New Zealand vs Sri Lanka,T20I # 1850,Wanindu Hasaranga de Silva,4,0,22,1,5.5,9,1,0,0,0
New Zealand vs Sri Lanka,T20I # 1850,Lahiru Kumara,3,0,37,1,12.33,2,2,2,2,1
New Zealand vs Sri Lanka,T20I # 1850,Chamika Karunaratne,3,0,34,0,11.33,5,3,1,1,0
New Zealand vs Sri Lanka,T20I # 1850,Tim Southee,4,1,12,1,3,18,0,1,1,0
New Zealand vs Sri Lanka,T20I # 1850,Trent Boult,4,0,13,4,3.25,18,1,0,1,0
New Zealand vs Sri Lanka,T20I # 1850,Lockie Ferguson,4,0,35,1,8.75,11,4,1,3,0
New Zealand vs Sri Lanka,T20I # 1850,Mitchell Santner,4,0,21,2,5.25,13,3,0,0,0
New Zealand vs Sri Lanka,T20I # 1850,Ish Sodhi,3.2,0,21,2,6.3,11,2,1,1,0
Bangladesh vs Zimbabwe,T20I # 1851,Richard Ngarava,4,0,24,2,6,11,2,0,2,0
Bangladesh vs Zimbabwe,T20I # 1851,Blessing Muzarabani,2,0,13,2,6.5,8,3,0,0,0
Bangladesh vs Zimbabwe,T20I # 1851,Tendai Chatara,3,0,18,0,6,7,1,0,0,0
Bangladesh vs Zimbabwe,T20I # 1851,Sikandar Raza,4,0,35,1,8.75,2,2,1,0,0
Bangladesh vs Zimbabwe,T20I # 1851,Brad Evans,3,0,32,0,10.66,2,3,1,1,0
Bangladesh vs Zimbabwe,T20I # 1851,Wessly Madhevere,2,0,18,0,9,0,1,0,0,0
Bangladesh vs Zimbabwe,T20I # 1851,Sean Williams,2,0,10,1,5,4,0,0,1,0
Bangladesh vs Zimbabwe,T20I # 1851,Taskin Ahmed,4,1,19,3,4.75,15,3,0,0,0
Bangladesh vs Zimbabwe,T20I # 1851,Hasan Mahmud,4,0,36,0,9,8,5,0,3,0
Bangladesh vs Zimbabwe,T20I # 1851,Mosaddek Hossain,4,0,34,2,8.5,11,3,2,0,1
Bangladesh vs Zimbabwe,T20I # 1851,Mustafizur Rahman,4,0,15,2,3.75,11,0,0,0,0
Bangladesh vs Zimbabwe,T20I # 1851,Shakib Al Hasan,4,0,34,0,8.5,5,3,0,0,0
Netherlands vs Pakistan,T20I # 1852,Shaheen Shah Afridi,4,0,19,1,4.75,13,1,0,1,0
Netherlands vs Pakistan,T20I # 1852,Naseem Shah,4,0,11,1,2.75,15,0,0,0,0
Netherlands vs Pakistan,T20I # 1852,Mohammad Wasim,3,0,15,2,5,10,1,0,1,0
Netherlands vs Pakistan,T20I # 1852,Haris Rauf,3,0,10,1,3.33,11,1,0,0,0
Netherlands vs Pakistan,T20I # 1852,Shadab Khan,4,0,22,3,5.5,11,2,0,0,0
Netherlands vs Pakistan,T20I # 1852,Mohammad Nawaz,2,0,11,0,5.5,3,0,0,0,0
Netherlands vs Pakistan,T20I # 1852,Fred Klaassen,3,0,26,0,8.66,4,3,0,0,0
Netherlands vs Pakistan,T20I # 1852,Paul van Meekeren,4,0,19,1,4.75,15,2,0,0,0
Netherlands vs Pakistan,T20I # 1852,Brandon Glover,2.5,0,22,2,7.76,9,3,0,0,0
Netherlands vs Pakistan,T20I # 1852,Tim Pringle,1,0,12,0,12,1,2,0,0,0
Netherlands vs Pakistan,T20I # 1852,Logan van Beek,2,0,9,0,4.5,5,0,0,0,0
Netherlands vs Pakistan,T20I # 1852,Roelof van der Merwe,1,0,7,0,7,1,0,0,0,0
India vs South Africa,T20I # 1853,Wayne Parnell,4,1,15,3,3.75,16,0,1,0,0
India vs South Africa,T20I # 1853,Kagiso Rabada,4,0,26,0,6.5,13,2,1,1,0
India vs South Africa,T20I # 1853,Lungi Ngidi,4,0,29,4,7.25,10,3,1,0,0
India vs South Africa,T20I # 1853,Anrich Nortje,4,0,23,1,5.75,12,1,1,0,0
India vs South Africa,T20I # 1853,Keshav Maharaj,3,0,28,0,9.33,5,3,1,0,0
India vs South Africa,T20I # 1853,Aiden Markram,1,0,5,0,5,1,0,0,0,0
India vs South Africa,T20I # 1853,Bhuvneshwar Kumar,3.4,0,21,0,5.72,13,2,1,0,0
India vs South Africa,T20I # 1853,Arshdeep Singh,4,0,25,2,6.25,13,4,0,1,0
India vs South Africa,T20I # 1853,Mohammed Shami,4,0,13,1,3.25,15,1,0,0,0
India vs South Africa,T20I # 1853,Hardik Pandya,4,0,29,1,7.25,8,3,0,0,0
India vs South Africa,T20I # 1853,Ravichandran Ashwin,4,0,43,1,10.75,5,1,4,0,0
Australia vs Ireland,T20I # 1855,Josh Little,4,0,21,2,5.25,13,2,0,2,0
Australia vs Ireland,T20I # 1855,Mark Adair,4,0,59,0,14.75,6,7,2,6,0
Australia vs Ireland,T20I # 1855,Barry McCarthy,4,0,29,3,7.25,7,2,0,1,0
Australia vs Ireland,T20I # 1855,Gareth Delany,3,0,29,0,9.66,10,2,2,2,0
Australia vs Ireland,T20I # 1855,Fionn Hand,1,0,15,0,15,2,0,2,1,0
Australia vs Ireland,T20I # 1855,George Dockrell,4,0,24,0,6,8,0,1,0,0
Australia vs Ireland,T20I # 1855,Josh Hazlewood,3,0,24,0,8,8,1,2,1,0
Australia vs Ireland,T20I # 1855,Pat Cummins,4,0,28,2,7,14,3,1,1,0
Australia vs Ireland,T20I # 1855,Glenn Maxwell,2.1,0,14,2,6.46,6,2,0,0,0
Australia vs Ireland,T20I # 1855,Mitchell Starc,4,1,43,2,10.75,11,8,0,2,1
Australia vs Ireland,T20I # 1855,Adam Zampa,4,0,19,2,4.75,9,1,0,0,0
Australia vs Ireland,T20I # 1855,Marcus Stoinis,1,0,6,1,6,2,0,0,0,0
Afghanistan vs Sri Lanka,T20I # 1856,Kasun Rajitha,4,0,31,1,7.75,11,2,1,1,1
Afghanistan vs Sri Lanka,T20I # 1856,Pramod Madushan,3,0,24,0,8,7,2,1,0,0
Afghanistan vs Sri Lanka,T20I # 1856,Lahiru Kumara,4,0,30,2,7.5,12,2,1,4,0
Afghanistan vs Sri Lanka,T20I # 1856,Maheesh Theekshana,4,0,33,0,8.25,5,1,1,1,0
Afghanistan vs Sri Lanka,T20I # 1856,Wanindu Hasaranga de Silva,4,0,13,3,3.25,12,0,0,0,0
Afghanistan vs Sri Lanka,T20I # 1856,Dhananjaya de Silva,1,0,9,1,9,1,1,0,0,0
Afghanistan vs Sri Lanka,T20I # 1856,Fazalhaq Farooqi,3.3,1,22,0,6.28,11,3,0,1,0
Afghanistan vs Sri Lanka,T20I # 1856,Mujeeb Ur Rahman,4,0,24,2,6,12,3,0,0,0
Afghanistan vs Sri Lanka,T20I # 1856,Fareed Ahmad,2,0,25,0,12.5,3,3,1,1,0
